direction,combo,noise_k,vol_mult,window,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG,above_pivot+macd_x_up,0.0,0.8,full_0930_1400,30,0.53,8,19,3,26.7,29.6,0.46,-3.06,4.26,72.5
LONG,above_pivot+macd_x_up_neg,0.0,0.8,full_0930_1400,5,0.09,1,2,2,20.0,33.3,0.61,-0.24,0.31,78.0
LONG,above_pivot+hist_turn_up,0.0,0.8,full_0930_1400,105,1.84,34,51,20,32.4,40.0,0.73,-4.36,5.65,86.4
LONG,above_pivot+strong_close,0.0,0.8,full_0930_1400,429,7.53,162,199,68,37.8,44.9,0.84,-9.97,17.09,89.7
LONG,above_pivot+orb_break_up,0.0,0.8,full_0930_1400,40,0.7,19,16,5,47.5,54.3,1.27,1.32,1.2,99.9
LONG,above_pivot+orb_break_up_v,0.0,0.8,full_0930_1400,32,0.56,16,13,3,50.0,55.2,1.24,0.97,0.9,99.2
LONG,above_pivot+vwap_reclaim_v,0.0,0.8,full_0930_1400,27,0.47,8,14,5,29.6,36.4,0.66,-1.47,2.1,92.0
LONG,above_pivot+rvol_thrust_up,0.0,0.8,full_0930_1400,155,2.72,58,69,28,37.4,45.7,0.91,-2.01,5.95,96.9
LONG,above_pivot+above_vwap_v,0.0,0.8,full_0930_1400,277,4.86,95,130,52,34.3,42.2,0.79,-8.28,12.36,95.8
LONG,above_pivot+vwap_lo_bounce,0.0,0.8,full_0930_1400,56,0.98,26,23,7,46.4,53.1,1.07,0.51,1.8,84.3
LONG,above_pivot+cvd_up,0.0,0.8,full_0930_1400,411,7.21,143,191,77,34.8,42.8,0.81,-11.36,17.62,96.9
LONG,above_pivot+cvd_up_v,0.0,0.8,full_0930_1400,267,4.68,96,121,50,36.0,44.2,0.85,-5.72,11.04,98.5
LONG,above_pivot+mom_ignite_up,0.0,0.8,full_0930_1400,36,0.63,14,18,4,38.9,43.8,0.81,-1.05,1.8,77.4
LONG,above_pivot+rsi_thrust_up,0.0,0.8,full_0930_1400,33,0.58,14,11,8,42.4,56.0,1.31,1.09,1.16,88.6
LONG,macd_x_up+macd_x_up_neg,0.0,0.8,full_0930_1400,31,0.54,6,19,6,19.4,24.0,0.38,-3.59,3.63,82.7
LONG,macd_x_up+hist_turn_up,0.0,0.8,full_0930_1400,11,0.19,2,7,2,18.2,22.2,0.36,-1.39,1.39,85.0
LONG,macd_x_up+strong_close,0.0,0.8,full_0930_1400,45,0.79,10,31,4,22.2,24.4,0.35,-6.07,6.41,73.4
LONG,macd_x_up+orb_break_up,0.0,0.8,full_0930_1400,7,0.12,4,3,0,57.1,57.1,1.33,0.3,0.3,67.1
LONG,macd_x_up+orb_break_up_v,0.0,0.8,full_0930_1400,6,0.11,4,2,0,66.7,66.7,2.0,0.6,0.3,73.3
LONG,macd_x_up+vwap_reclaim_v,0.0,0.8,full_0930_1400,3,0.05,1,1,1,33.3,50.0,0.96,-0.01,0.31,48.3
LONG,macd_x_up+rvol_thrust_up,0.0,0.8,full_0930_1400,15,0.26,5,10,0,33.3,33.3,0.5,-1.5,2.4,65.0
LONG,macd_x_up+above_vwap_v,0.0,0.8,full_0930_1400,19,0.33,5,13,1,26.3,27.8,0.38,-2.41,3.31,66.3
LONG,macd_x_up+vwap_lo_bounce,0.0,0.8,full_0930_1400,11,0.19,3,7,1,27.3,30.0,0.42,-1.26,0.96,60.9
LONG,macd_x_up+cvd_up,0.0,0.8,full_0930_1400,33,0.58,6,24,3,18.2,20.0,0.28,-5.16,5.46,83.5
LONG,macd_x_up+cvd_up_v,0.0,0.8,full_0930_1400,19,0.33,5,12,2,26.3,29.4,0.44,-2.04,2.64,82.9
LONG,macd_x_up+mom_ignite_up,0.0,0.8,full_0930_1400,7,0.12,1,6,0,14.3,14.3,0.17,-1.5,1.5,53.6
