direction,combo,noise_k,vol_mult,window,trades,trades_per_day,wins,stops,scratch,win_rate,tp_before_sl,profit_factor,net_pct,max_drawdown_pct,avg_hold_min
LONG,vwap_reclaim+ylow_reclaim+cvd_up,0.0,0.8,full_0930_1400,4,0.07,2,1,1,50.0,66.7,2.81,0.54,0.3,90.0
LONG,vwap_reclaim+ylow_reclaim+cvd_up_v,0.0,0.8,full_0930_1400,2,0.04,1,0,1,50.0,100.0,inf,0.54,0.0,130.0
LONG,vwap_reclaim+ylow_reclaim+rsi_thrust_up,0.0,0.8,full_0930_1400,2,0.04,1,0,1,50.0,100.0,inf,0.54,0.0,130.0
LONG,vwap_reclaim+yhigh_break+above_pivot,0.0,0.8,full_0930_1400,6,0.11,1,4,1,16.7,20.0,0.23,-0.98,0.98,93.3
LONG,vwap_reclaim+yhigh_break+hist_turn_up,0.0,0.8,full_0930_1400,4,0.07,0,3,1,0.0,0.0,0.0,-0.98,0.68,103.8
LONG,vwap_reclaim+yhigh_break+strong_close,0.0,0.8,full_0930_1400,5,0.09,0,4,1,0.0,0.0,0.0,-1.28,0.98,103.0
LONG,vwap_reclaim+yhigh_break+orb_break_up,0.0,0.8,full_0930_1400,1,0.02,0,1,0,0.0,0.0,0.0,-0.3,0.0,40.0
LONG,vwap_reclaim+yhigh_break+orb_break_up_v,0.0,0.8,full_0930_1400,1,0.02,0,1,0,0.0,0.0,0.0,-0.3,0.0,40.0
LONG,vwap_reclaim+yhigh_break+vwap_reclaim_v,0.0,0.8,full_0930_1400,3,0.05,0,3,0,0.0,0.0,0.0,-0.9,0.6,58.3
LONG,vwap_reclaim+yhigh_break+rvol_thrust_up,0.0,0.8,full_0930_1400,2,0.04,0,2,0,0.0,0.0,0.0,-0.6,0.3,40.0
LONG,vwap_reclaim+yhigh_break+above_vwap_v,0.0,0.8,full_0930_1400,2,0.04,0,2,0,0.0,0.0,0.0,-0.6,0.3,40.0
LONG,vwap_reclaim+yhigh_break+vwap_lo_bounce,0.0,0.8,full_0930_1400,1,0.02,0,1,0,0.0,0.0,0.0,-0.3,0.0,95.0
LONG,vwap_reclaim+yhigh_break+cvd_up,0.0,0.8,full_0930_1400,5,0.09,1,3,1,20.0,25.0,0.31,-0.68,0.68,93.0
LONG,vwap_reclaim+yhigh_break+cvd_up_v,0.0,0.8,full_0930_1400,2,0.04,0,2,0,0.0,0.0,0.0,-0.6,0.3,40.0
LONG,vwap_reclaim+yhigh_break+rsi_thrust_up,0.0,0.8,full_0930_1400,2,0.04,0,2,0,0.0,0.0,0.0,-0.6,0.3,40.0
LONG,vwap_reclaim+above_pivot+macd_x_up,0.0,0.8,full_0930_1400,3,0.05,2,1,0,66.7,66.7,2.0,0.3,0.3,81.7
LONG,vwap_reclaim+above_pivot+macd_x_up_neg,0.0,0.8,full_0930_1400,1,0.02,1,0,0,100.0,100.0,inf,0.3,0.0,15.0
LONG,vwap_reclaim+above_pivot+hist_turn_up,0.0,0.8,full_0930_1400,22,0.39,3,13,6,13.6,18.8,0.31,-3.0,2.7,114.8
LONG,vwap_reclaim+above_pivot+strong_close,0.0,0.8,full_0930_1400,51,0.89,11,21,19,21.6,34.4,0.57,-3.23,3.13,135.4
